matricula,nome,situacao,data_matricula,cidade,site,email,telefone,uf,junta_comercial,fonte
28/06/2017,Roberto Carlos Antunes Da Costa,cancelado,28/06/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/07/2017,Carmen Lúcia Capela,destituido,17/07/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
18/09/2017,Marco Aurélio Périco Góes,suspenso,18/09/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
27/09/2017,Mair Raimundo Camargo Filho,destituido,27/09/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
27/09/2017,Fábio Marlon Machado,regular,27/09/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
24/10/2017,Renato Antônio Batista,regular,24/10/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
24/10/2017,Glauber Zabot,destituido,24/10/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
09/11/2017,Ely Da Luz Ramos,regular,09/11/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
14/12/2017,Elio Montagna Junior,cancelado,14/12/2017,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
25/01/2018,Andréa Baldissera,regular,25/01/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
22/02/2018,Etla Weiss Da Costa,destituido,22/02/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
09/04/2018,Marcelo Drechsel,regular,09/04/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/04/2018,João Paulo Sampaio Damiani,regular,30/04/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/04/2018,Suelem Regina Bocasanta,regular,30/04/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/04/2018,Sandra Regina Kuehn,destituido,30/04/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
18/05/2018,Luan Ubialli,regular,18/05/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
18/05/2018,Elisabeth França Maltez,destituido,18/05/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
29/08/2018,João Vieira Farias,regular,29/08/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/10/2018,Raul Bergson De Oliveira,cancelado,23/10/2018,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
04/04/2019,Guilherme Antônio Scarpari De Lucca,regular,04/04/2019,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
24/05/2019,Guilherme E. Stutz Toporoski,regular,24/05/2019,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/06/2019,Denise Deibler Magalhães,cancelado,19/06/2019,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
02/07/2019,Auriannye Marques,regular,02/07/2019,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
21/08/2019,Izabel De Castro,regular,21/08/2019,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
01/10/2019,Rubens Henrique De Castro,regular,01/10/2019,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
04/03/2020,Liliamar Fátima Parmeggiani Pestana Marques Gomes,regular,04/03/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
04/03/2020,Augusto Parmeggiani Pestana Marques Gomes,regular,04/03/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/03/2020,Claudio Cesar Gonçalves,destituido,17/03/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/03/2020,Luciana Nora,destituido,17/03/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/03/2020,Paulo Alexandre Heisler,regular,17/03/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/03/2020,Gustavo Cristiano Samuel Dos Reis,regular,17/03/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/06/2020,Aridina Maria Do Amaral,regular,05/06/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
31/08/2020,Jorge Vinicius De Moura Correa,regular,31/08/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
31/08/2020,Rafael Ceretta Alegranzzi,regular,31/08/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
31/08/2020,Edvar Vitor Soprano,regular,31/08/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
24/09/2020,Eloisa Auxiliadora Menegassi Correa,regular,24/09/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
14/10/2020,Maurício Guerra Alves,regular,14/10/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
14/10/2020,Giuliano Frassetto,destituido,14/10/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
16/10/2020,Norton Jochims Fernandes,regular,16/10/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
16/10/2020,Osmar Sergio Costa,regular,16/10/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
04/11/2020,Giancarlo Peterlongo Lorenzini Menegotto,regular,04/11/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/11/2020,Sarita Ana Giacomazzi Araujo,regular,06/11/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/11/2020,Varones Pasqual Drabach Filho,regular,06/11/2020,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
26/01/2021,Rudival Almeida Gomes Junior,regular,26/01/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
16/02/2021,Rodrigo Sanson,regular,16/02/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/03/2021,José Valero Santos Junior,regular,08/03/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
31/03/2021,Jéfferson Tácio Furlanetto Miotti,regular,31/03/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/05/2021,Sabrina Da Silva Pereira Eckelberg,regular,13/05/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/05/2021,Marileia May,regular,13/05/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
31/05/2021,Davi Borges De Aquino,regular,31/05/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/07/2021,Cristiane Da Costa,regular,05/07/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/07/2021,Claudia Schiessl,regular,13/07/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/07/2021,Edwin Romel Maranon Michel,cancelado,13/07/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/07/2021,Rodrigo Amboni Farias,destituido,20/07/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
24/08/2021,Mouzar Baston Filho,regular,24/08/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
10/09/2021,Vanessa Priscila Brassiani,regular,10/09/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/09/2021,Ricardo Ferreira Gomes,regular,20/09/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
27/09/2021,Levy Dos Santos Moraes Filho,regular,27/09/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
07/10/2021,Luiz Balbino Da Silva Junior,regular,07/10/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
03/11/2021,Jose Ivanildo De Sousa Damasceno,destituido,03/11/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/12/2021,Josecelli Kildare Fraga Gomes,cancelado,06/12/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/2021,Marciano Mauro Pagliarini,regular,15/12/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/2021,Milton Santiago Sola Muniz,regular,15/12/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/2021,Fernando Rodrigues Benvenho,regular,15/12/2021,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/01/2022,Gustavo Henrique Zanoni Pereira,regular,05/01/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
10/03/2022,Everton Dias Medeiros,regular,10/03/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
25/03/2022,Conceição Maria Fixer,regular,25/03/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/04/2022,Ricardo Andrei Mallmann,cancelado,05/04/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
25/04/2022,Anderson Lopes De Paula,regular,25/04/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
18/05/2022,Itamar Coraci Xavier De Liz,regular,18/05/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
12/07/2022,Soraya Nass Nart,regular,12/07/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/07/2022,Jorge Marco Aurélio Biavati,regular,15/07/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/07/2022,Ana Carolina Zaninetti Rosa,regular,20/07/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/09/2022,André Luiz Wuitschik,regular,08/09/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
10/11/2022,Daiane Fucks Pelentir,regular,10/11/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
10/11/2022,Jean Carlos Zappelini Becker,regular,10/11/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/11/2022,André Lucas Junkes,regular,23/11/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/12/2022,Luciano Resende Rodrigues,regular,06/12/2022,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
18/01/2023,Débora Viale Prazeres Vilela Veiga,regular,18/01/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
25/01/2023,Cirlei Freitas Balbino Da Silva,regular,25/01/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
25/01/2023,Marcos Antonio Tulio,regular,25/01/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/02/2023,Felipe Emilio Beling,destituido,08/02/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/02/2023,Catiele Borges Leffa,regular,08/02/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/02/2023,Dionir Bianchi,regular,23/02/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
16/03/2023,Michelle Spironello,regular,16/03/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
25/05/2023,Patricia Pimentel Grocoski Costa,regular,25/05/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/07/2023,Neila Rosane Ribeiro Dos Santos,regular,13/07/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/07/2023,Thaís Cristina Kich,regular,13/07/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/07/2023,Luci Vera Primaz Dos Reis,regular,19/07/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/08/2023,Juliana Tais Benatti,destituido,08/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
08/08/2023,Lucas Andreatta De Oliveira,cancelado,08/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/08/2023,Thainá Lima,regular,15/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/08/2023,Viviane Aparecida Brassiani Engicht,regular,15/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/08/2023,Sued Peter Bastos Dyna,regular,15/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
28/08/2023,José Fernando De Quina,regular,28/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
28/08/2023,Rodolfo Macarini De Souza,regular,28/08/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/09/2023,Andrea Ferraz De Albuquerque,regular,05/09/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
12/09/2023,Vagner Ferreira De Oliveira,destituido,12/09/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
22/09/2023,Joacir Monzon Pouey,regular,22/09/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/10/2023,Ricardo Martins De Souza,regular,06/10/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
23/10/2023,Daniel Melo Cruz,regular,23/10/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
21/11/2023,Ligia Coneglian Carrilho De Vasconcelos,regular,21/11/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
21/11/2023,Luciano Marangoni,regular,21/11/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/12/2023,Fabiane Pacheco,cancelado,05/12/2023,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
